FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
TX0354,HUTCHINS-ATWELL PUBLIC LIBRARY,300 N DENTON ST,HUTCHINS,75141,Suburban,"5,614","24,236","15,037",120,992
TX0355,IDALOU COMMUNITY LIBRARY,210 MAIN ST,IDALOU,79329,Rural,"2,193","13,728","18,301",404,"1,083"
TX0356,MCCULLOCH COUNTY LIBRARY,401 E COMMERCE ST,BRADY,76825,Town,"7,497","17,011","42,579",813,"1,417"
TX0357,LAKE TRAVIS COMMUNITY LIBRARY,1938 LOHMANS CROSSING RD,AUSTIN,78734,Suburban,"50,858","44,123","108,954","2,790","5,913"
TX0358,LANCASTER VETERANS MEMORIAL LIBRARY,1600 VETERANS MEMORIAL PKWY,LANCASTER,75134,Suburban,"40,449","80,667",705,400,"4,021"
TX0360,ROWLETT PUBLIC LIBRARY,3900 MAIN ST SUITE 200,ROWLETT,75088,Suburban,"65,113","58,179","215,500","2,197","13,437"
TX0361,SACHSE PUBLIC LIBRARY,3815 SACHSE RD BLDG C,SACHSE,75048,Suburban,"30,610","36,511","4,809",12,"3,746"
TX0362,SEAGOVILLE PUBLIC LIBRARY,702 N HWY 175,SEAGOVILLE,75159,Suburban,"19,491","24,587","33,055",16,"1,977"
TX0364,SLATON CITY LIBRARY,200 W LYNN ST,SLATON,79364,Town,"6,455","10,991","15,037",193,699
TX0365,SPRINGTOWN PUBLIC LIBRARY,626 N MAIN ST,SPRINGTOWN,76082,Town,"8,191","14,801","20,697",257,867
TX0366,DORIS PADGETT LIBRARY,402 TOWER PL,SUNNYVALE,75182,Rural,"8,392","43,932","32,306",283,"3,096"
TX0368,TAWAKONI AREA PUBLIC LIBRARY,340 W HWY 276,WEST TAWAKONI,75474,Town,"4,659","16,130","31,059",262,"1,302"
TX0369,WATAUGA PUBLIC LIBRARY,7109 WHITLEY RD,WATAUGA,76148,Suburban,"23,050","85,775","25,824","7,373","20,032"
TX0370,WESTBANK COMMUNITY LIBRARY DISTRICT,1309 WESTBANK DR,AUSTIN,78746,Suburban,"25,658","70,115","299,794","2,454","7,337"
TX0371,GILLIAM MEMORIAL PUBLIC LIBRARY,205 E BELT LINE RD,WILMER,75172,Suburban,"5,833","9,046","34,335",44,899
TX0372,GILBREATH MEMORIAL LIBRARY,916 N MAIN ST,WINNSBORO,75494,Town,"9,622","25,905","33,125","1,114","2,114"
TX0373,HEWITT PUBLIC LIBRARY,200 PATRIOT CT,HEWITT,76643,Suburban,"25,459","37,958","30,887","1,840","3,488"
TX0374,LEONARD PUBLIC LIBRARY,102 S MAIN ST,LEONARD,75452,Rural,"2,055","16,556",0,360,"1,828"
TX0376,UNIVERSAL CITY PUBLIC LIBRARY,100 NORTHVIEW DR,UNIVERSAL CITY,78148,Suburban,"19,990","20,316","15,037","1,090","2,448"
TX0377,NANCY CAROL ROBERTS MEMORIAL LIBRARY,100 MARTIN LUTHER KING JR PKWY,BRENHAM,77833,Town,"18,469","40,434","30,758","1,488","2,701"
TX0378,BOOKER SCHOOL/PUBLIC LIBRARY,600 S MAIN ST,BOOKER,79005,Rural,"1,557","23,444","20,919",9,10
TX0380,ALVORD PUBLIC LIBRARY,106 FRANKLIN ST,ALVORD,76225,Rural,"6,238","10,937","10,009",624,"1,447"
TX0381,OLDHAM COUNTY PUBLIC LIBRARY,914 MAIN,VEGA,79092,Rural,"1,752","10,575","5,618",329,6
TX0382,SANGER PUBLIC LIBRARY,501 BOLIVAR ST,SANGER,76266,Town,"13,371","15,653","10,491",848,"2,013"
